,Polarity
0,-0.00029999999999996696
1,0.0008000000000000229
2,0.0
3,0.0
4,0.0
5,0.0012000000000000899
6,-0.0009000000000000119
7,0.0
8,-0.020399999999999974
9,0.0
10,0.00770000000000004
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0010999999999999899
17,0.0
18,0.0
19,0.0007000000000000339
20,0.0
21,0.0
22,0.0
23,0.0
24,-0.00550000000000006
25,-1.0902
26,0.000500000000000056
27,0.007900000000000018
28,0.0
29,-9.999999999998899e-05
30,-1.9957
31,-9.999999999998899e-05
32,0.0023999999999999577
33,-1.9251
34,0.00019999999999997797
35,1.9946
36,0.0036999999999999256
37,-9.999999999998899e-05
38,0.00029999999999996696
39,0.0025999999999999357
40,0.00040000000000006697
41,1.8902999999999999
42,0.0
43,1.9964
44,-9.999999999998899e-05
45,-0.015800000000000036
46,0.0
47,0.0
48,-9.999999999998899e-05
49,-0.0022000000000000908
50,0.006000000000000005
51,9.999999999998899e-05
52,0.014699999999999935
53,1.9141
54,0.0009000000000000119
55,-0.0018000000000000238
56,0.0025999999999999357
57,-0.0013000000000000789
58,-0.00019999999999997797
59,1.9976
60,-0.00019999999999997797
61,-1.9373
62,0.0044999999999999485
63,9.999999999998899e-05
64,1.9984
65,-1.975
66,-0.01870000000000005
67,-0.000500000000000056
68,-0.0015000000000000568
69,-1.1108
70,-0.09289999999999998
71,-0.0006000000000000449
72,-0.6305000000000001
73,-1.5263
74,-0.0042999999999999705
75,-9.999999999998899e-05
76,-0.00019999999999997797
77,-0.02080000000000004
78,-0.00019999999999997797
79,-0.09239999999999993
80,-1.6972
81,0.000300000000000078
82,-0.006800000000000028
83,-1.9865
84,-0.19689999999999996
85,-0.0018000000000000238
86,-0.00040000000000006697
87,-0.0014000000000000679
88,0.0
89,0.0
90,0.0007000000000000339
91,-1.9967000000000001
92,-0.005700000000000038
93,-0.0050000000000000044
94,-0.0012999999999999678
95,9.999999999998899e-05
96,-0.0006000000000000449
97,1.9996
98,-1.9877
99,-0.03269999999999995
100,-0.016599999999999948
101,-0.000300000000000078
102,0.00039999999999995595
103,0.0004999999999999449
104,-0.0007000000000000339
105,-1.9634
106,-9.999999999998899e-05
107,0.00039999999999995595
108,1.0047000000000001
109,-0.0022999999999999687
110,1.994
111,-9.999999999998899e-05
112,-0.0009000000000000119
113,-0.03269999999999995
114,-1.9955
115,-0.0007000000000000339
116,0.0
117,0.0014000000000000679
118,-0.0014000000000000679
119,9.999999999998899e-05
120,9.999999999998899e-05
121,0.0004999999999999449
122,-0.00019999999999997797
123,-0.008400000000000074
124,-0.03149999999999997
125,9.999999999998899e-05
126,0.00039999999999995595
127,-0.0010999999999999899
128,1.9942000000000002
129,-0.005599999999999938
130,-1.9983
131,-0.00029999999999996696
132,-0.0009000000000000119
133,-0.00029999999999996696
134,0.00010000000000010001
135,9.999999999998899e-05
136,-1.9975
137,-0.008000000000000007
138,-0.0008000000000000229
139,0.0006000000000000449
140,-1.9971
141,-0.0009000000000000119
142,9.999999999998899e-05
143,1.9855
144,9.999999999998899e-05
145,-0.00040000000000006697
146,-0.010000000000000009
147,9.999999999998899e-05
148,-0.014100000000000001
149,-0.00019999999999997797
150,0.0006000000000000449
151,1.9708999999999999
152,0.0
153,-0.000200000000000089
154,0.00029999999999996696
155,-0.1301
156,-0.005299999999999971
157,0.00019999999999997797
158,-0.0035000000000000586
159,9.999999999998899e-05
160,-0.00029999999999996696
161,-1.9921
162,-0.00029999999999996696
163,-1.8481
164,0.00019999999999997797
165,0.0
166,0.07740000000000002
167,-9.999999999998899e-05
168,0.0010999999999999899
169,-0.00010000000000010001
170,-0.0050000000000000044
171,0.0037000000000000366
172,-1.9029
173,-0.00029999999999996696
174,-0.0010999999999999899
175,0.00039999999999995595
176,0.0
177,-0.0045000000000000595
178,-0.00029999999999996696
179,-1.9975
180,-0.00029999999999996696
181,-1.994
182,0.0034000000000000696
183,-0.000200000000000089
184,-0.00019999999999997797
185,0.10609999999999997
186,0.00019999999999997797
187,0.0
188,-0.01529999999999998
189,-0.0012999999999999678
190,0.0035000000000000586
191,-9.999999999998899e-05
192,0.006700000000000039
193,0.0016000000000000458
194,-0.2187
195,-0.00019999999999997797
196,-0.3035000000000001
197,-0.0012000000000000899
198,-0.0006000000000000449
199,-0.0028000000000000247
200,-0.4929
201,0.009700000000000042
202,-0.00040000000000006697
203,1.9984000000000002
204,-1.9432999999999998
205,9.999999999998899e-05
206,-0.008499999999999952
207,-0.00019999999999997797
208,-0.00029999999999996696
209,0.0026000000000000467
210,-9.999999999998899e-05
211,-9.999999999998899e-05
212,0.0005999999999999339
213,-0.0016000000000000458
214,-0.08130000000000004
215,-0.6053999999999999
216,-0.0019000000000000128
217,-0.0020000000000000018
218,0.0022000000000000908
219,-0.00029999999999996696
220,0.00029999999999996696
221,-0.00019999999999997797
222,-0.0007000000000000339
223,0.001100000000000101
224,-1.992
225,-0.00039999999999995595
226,0.0
227,-0.022299999999999986
228,0.00019999999999997797
229,0.0006000000000000449
230,-0.00019999999999997797
231,-0.0031999999999999806
232,0.004899999999999904
233,9.999999999998899e-05
234,-0.4690000000000001
235,-0.0010000000000000009
236,-0.0008000000000000229
237,0.0019000000000000128
238,1.9675
239,-1.9042
240,0.009199999999999986
241,9.999999999998899e-05
242,0.0
243,0.0013000000000000789
244,-0.0006000000000000449
245,0.006000000000000005
246,-1.9195000000000002
247,-1.9979
248,0.0011999999999999789
249,1.953
250,-1.999
251,-0.00019999999999997797
252,-0.009199999999999986
253,0.0020000000000000018
254,1.9988000000000001
255,-0.00029999999999996696
256,-0.0012999999999999678
257,0.0018000000000000238
258,-0.0013000000000000789
259,0.0008000000000000229
260,1.9996
261,0.0
262,-0.000300000000000078
263,-1.1054
264,-0.021599999999999953
265,9.999999999998899e-05
266,0.0
267,-0.00040000000000006697
268,-9.999999999998899e-05
269,-9.999999999998899e-05
270,-0.007000000000000006
271,9.999999999998899e-05
272,-9.999999999998899e-05
273,-1.9966
274,0.00019999999999997797
275,0.0019000000000000128
276,-0.0017999999999999128
277,-9.999999999998899e-05
278,0.00040000000000006697
279,0.0
280,0.000500000000000056
281,0.00019999999999997797
282,1.9146
283,0.11750000000000005
284,0.0007000000000000339
285,-0.0007999999999999119
286,-0.00019999999999997797
